cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,hadevelopt,housing_psa,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,transit_district,latitude,longitude,lat_lon,patrol_boro,station_name,vic_age_group,vic_race,vic_sex,complaint_date,year,month,day,quarter,is_felony
318096573,2023-02-05,23:00:00,2023-02-05T00:00:00.000,23:30:00,109,2025-12-29T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1031338,211528,25-44,ASIAN / PACIFIC ISLANDER,M,,40.747157,-73.83006,"(40.747157, -73.83006)",PATROL BORO QUEENS NORTH,(null),25-44,ASIAN / PACIFIC ISLANDER,F,2023-02-05,2023,2,5,1,0
318082479,2025-12-29,05:30:00,2025-12-29T00:00:00.000,06:18:00,110,2025-12-29T00:00:00.000,233,SEX CRIMES,681.0,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1019164,210169,25-44,WHITE HISPANIC,M,,40.7434812638841,-73.8740035373971,"(40.7434812638841, -73.8740035373971)",PATROL BORO QUEENS NORTH,(null),UNKNOWN,WHITE HISPANIC,E,2025-12-29,2025,12,29,4,0
318117447,2025-12-28,17:00:00,2025-12-28T00:00:00.000,17:30:00,75,2025-12-29T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1019466,189344,25-44,UNKNOWN,M,,40.686322,-73.873022,"(40.686322, -73.873022)",PATROL BORO BKLYN NORTH,(null),25-44,WHITE HISPANIC,F,2025-12-28,2025,12,28,4,0
318096446,2014-01-01,16:00:00,2015-01-01T00:00:00.000,19:00:00,73,2025-12-29T00:00:00.000,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1008245,183796,25-44,BLACK,M,,40.6711300016904,-73.9135020552048,"(40.6711300016904, -73.9135020552048)",PATROL BORO BKLYN NORTH,(null),<18,BLACK,F,2014-01-01,2014,1,1,1,0
318101764,2025-12-23,09:00:00,2025-12-23T00:00:00.000,10:30:00,43,2025-12-29T00:00:00.000,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1023109,243987,25-44,UNKNOWN,F,,40.836287,-73.859569,"(40.836287, -73.859569)",PATROL BORO BRONX,(null),25-44,BLACK,M,2025-12-23,2025,12,23,4,0
318126163,2025-12-29,16:00:00,2025-12-29T00:00:00.000,16:05:00,14,2025-12-29T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),(null),988563,210440,UNKNOWN,UNKNOWN,U,,40.744294,-73.984435,"(40.744294, -73.984435)",PATROL BORO MAN SOUTH,(null),25-44,BLACK,F,2025-12-29,2025,12,29,4,0
318096244,2025-12-28,16:00:00,2025-12-28T00:00:00.000,16:20:00,44,2025-12-29T00:00:00.000,109,GRAND LARCENY,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,BRONX,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,(null),(null),(null),1006027,244160,UNKNOWN,UNKNOWN,M,,40.83682,-73.921301,"(40.83682, -73.921301)",PATROL BORO BRONX,(null),25-44,BLACK,M,2025-12-28,2025,12,28,4,1
318107971,2025-12-29,18:35:00,2025-12-29T00:00:00.000,18:50:00,67,2025-12-29T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,FOOD SUPERMARKET,N.Y. POLICE DEPT,0,(null),(null),(null),1001296,176587,25-44,BLACK,M,,40.651359,-73.938567,"(40.651359, -73.938567)",PATROL BORO BKLYN SOUTH,(null),UNKNOWN,UNKNOWN,D,2025-12-29,2025,12,29,4,0
318115147,2025-12-29,19:00:00,2025-12-29T00:00:00.000,19:50:00,18,2025-12-29T00:00:00.000,109,GRAND LARCENY,415.0,"LARCENY,GRAND FROM PERSON,PICK",COMPLETED,FELONY,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,(null),(null),(null),988324,215536,UNKNOWN,UNKNOWN,U,,40.758282,-73.985295,"(40.758282, -73.985295)",PATROL BORO MAN SOUTH,(null),25-44,WHITE,F,2025-12-29,2025,12,29,4,1
318134114,2025-12-28,19:30:00,,(null),44,2025-12-29T00:00:00.000,341,PETIT LARCENY,339.0,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,BRONX,INSIDE,FAST FOOD,N.Y. POLICE DEPT,0,(null),(null),(null),1007392,245219,UNKNOWN,WHITE,F,,40.839725,-73.916363,"(40.839725, -73.916363)",PATROL BORO BRONX,(null),45-64,BLACK HISPANIC,F,2025-12-28,2025,12,28,4,0
318096442,2025-12-29,11:53:00,2025-12-29T00:00:00.000,11:55:00,73,2025-12-29T00:00:00.000,675,ADMINISTRATIVE CODE,890.0,N.Y.C. TRANSIT AUTH. R&R,COMPLETED,VIOLATION,BROOKLYN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),(null),1010719,186857,25-44,ASIAN / PACIFIC ISLANDER,M,33.0,40.67951644,-73.90457012,"(40.67951644, -73.90457012)",PATROL BORO BKLYN NORTH,BROADWAY-EASTERN PKWY,UNKNOWN,UNKNOWN,E,2025-12-29,2025,12,29,4,0
318110084,2025-12-29,17:55:00,2025-12-29T00:00:00.000,18:00:00,5,2025-12-29T00:00:00.000,121,CRIMINAL MISCHIEF & RELATED OF,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),986483,202257,18-24,WHITE HISPANIC,M,,40.721834,-73.991945,"(40.721834, -73.991945)",PATROL BORO MAN SOUTH,(null),18-24,BLACK,F,2025-12-29,2025,12,29,4,1
318096103,2025-06-28,20:52:00,,(null),18,2025-12-29T00:00:00.000,121,CRIMINAL MISCHIEF & RELATED OF,273.0,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,MANHATTAN,(null),TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,(null),(null),(null),988757,216332,65+,BLACK,M,1.0,40.76045664,-73.98373096,"(40.76045664, -73.98373096)",PATROL BORO MAN SOUTH,49 STREET,UNKNOWN,UNKNOWN,E,2025-06-28,2025,6,28,2,1
318113320,2025-12-29,14:10:00,2025-12-29T00:00:00.000,14:40:00,25,2025-12-29T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,HOMELESS SHELTER,N.Y. POLICE DEPT,0,(null),(null),(null),999686,231566,25-44,BLACK,M,,40.802267,-73.944245,"(40.802267, -73.944245)",PATROL BORO MAN NORTH,(null),45-64,BLACK,F,2025-12-29,2025,12,29,4,0
