boro_nm,addr_pct_cd,latitude,longitude
BROOKLYN,61,40.599891,-73.936955
BRONX,45,40.826468,-73.836818
BRONX,49,40.86516329,-73.84074837
MANHATTAN,32,40.810923,-73.945051
BROOKLYN,67,40.66097,-73.931368
MANHATTAN,34,40.849589,-73.934349
BRONX,49,40.858891,-73.870202
QUEENS,107,40.70771584,-73.80278703
BRONX,46,40.854633,-73.918394
MANHATTAN,28,40.800413,-73.950866
QUEENS,113,40.678349,-73.773851
MANHATTAN,28,40.807776,-73.943384
BRONX,47,40.902772,-73.850946
STATEN ISLAND,121,40.582314,-74.169068
STATEN ISLAND,120,40.642695,-74.083583
BROOKLYN,70,40.645927,-73.961444
MANHATTAN,13,40.739862,-73.986607
MANHATTAN,1,40.72062858,-74.00520932
BROOKLYN,67,40.63878581,-73.94537273
BROOKLYN,72,40.668451,-73.996516
BROOKLYN,69,40.648091,-73.891632
MANHATTAN,30,40.830532,-73.941519
QUEENS,113,40.689847,-73.792446
BROOKLYN,71,40.66627716,-73.93413982
BRONX,43,40.831424,-73.849343
BROOKLYN,90,40.706457,-73.962232
BRONX,43,40.82789,-73.875192
BRONX,52,40.871794,-73.888243
MANHATTAN,9,40.72365033,-73.99102396
MANHATTAN,34,40.871331,-73.915403
BRONX,47,40.875556,-73.845561
QUEENS,107,40.7301130668694,-73.8109089148815
BRONX,40,40.801521,-73.914919
BROOKLYN,73,40.680669,-73.907646
QUEENS,101,40.597697,-73.749065
MANHATTAN,23,40.788854,-73.944257
BROOKLYN,90,40.707131,-73.966612
BROOKLYN,73,40.676841,-73.90904
MANHATTAN,5,40.723636,-73.9983
QUEENS,116,40.676967,-73.755366
BROOKLYN,62,40.614566,-74.000296
MANHATTAN,18,40.75603135,-73.97902527
